id,front,back,tag,deck
iv-a-abrir,abrir — formas clave,yo abro; pret. yo abrí; subj. yo abra; participio abierto. Nota: Participio irregular abierto; resto regular.,iv-atlas>a–c,verbs
iv-a-andar,andar — formas clave,yo ando; pret. yo anduve; subj. yo ande; participio andado. Nota: Pretérito con raíz anduv- y subjuntivo pretérito anduviera.,iv-atlas>a–c,verbs
iv-b-bendecir,bendecir — formas clave,"yo bendigo; pret. yo bendije; subj. yo bendiga; participio bendecido (verbal) / bendito (adjetivo). Nota: Como *decir*: yo bendigo, pretérito bendije, participio verbal *bendecido* (adjetivo *bendito*).",iv-atlas>a–c,verbs
iv-c-caber,caber — formas clave,yo quepo; pret. yo cupe; subj. yo quepa; participio cabido. Nota: Yo quepo; pretérito cupe; futuro cabré; subjuntivo presente quepa.,iv-atlas>a–c,verbs
iv-c-caer,caer — formas clave,"yo caigo; pret. yo caí; subj. yo caiga; participio caído. Nota: Yo caigo; pretérito con y (cayó, cayeron); participio caído.",iv-atlas>a–c,verbs
iv-c-conducir,conducir — formas clave,yo conduzco; pret. yo conduje; subj. yo conduzca; participio conducido. Nota: Yo conduzco; pretérito conduje con 3ª plural -eron.,iv-atlas>a–c,verbs
iv-c-cerrar,cerrar — formas clave,yo cierro; pret. yo cerré; subj. yo cierre; participio cerrado. Nota: Cambio vocálico e→ie excepto en nosotros/vosotros.,iv-atlas>a–c,verbs
iv-c-construir,construir — formas clave,"yo construyo; pret. yo construí; subj. yo construya; participio construido. Nota: Cambio i→y en presente, pretérito y subjuntivo; nosotros conservan i.",iv-atlas>a–c,verbs
iv-d-decir,decir — formas clave,yo digo; pret. yo dije; subj. yo diga; participio dicho. Nota: Yo digo; pretérito dije; participio dicho.,iv-atlas>d–l,verbs
iv-d-dormir,dormir — formas clave,yo duermo; pret. yo dormí; subj. yo duerma; participio dormido. Nota: Cambio o→ue/e→u; pretérito 3ª persona durmió/durmieron.,iv-atlas>d–l,verbs
iv-e-estar,estar — formas clave,yo estoy; pret. yo estuve; subj. yo esté; participio estado. Nota: Yo estoy; pretérito estuve; subjuntivo esté.,iv-atlas>d–l,verbs
iv-f-freir,freír — formas clave,yo frío; pret. yo freí; subj. yo fría; participio freído / frito. Nota: Acentos en presente (frío); participio doble *freído/frito*.,iv-atlas>d–l,verbs
iv-h-haber,haber — formas clave,"yo he; pret. yo hube; subj. yo haya; participio habido (raro). Nota: Auxiliar: he, has, ha; pretérito hube; subjuntivo haya.",iv-atlas>d–l,verbs
