id,front,back,tag,deck
v500-reg-001,dejar,let,verbs>regular500,verbs
v500-reg-002,cambiar,change,verbs>regular500,verbs
v500-reg-003,comer,eat,verbs>regular500,verbs
v500-reg-004,ayudar,help,verbs>regular500,verbs
v500-reg-005,comprar,buy,verbs>regular500,verbs
v500-reg-006,crear,create,verbs>regular500,verbs
v500-reg-007,aprender,learn,verbs>regular500,verbs
v500-reg-008,cumplir,fulfill,verbs>regular500,verbs
v500-reg-009,compartir,share,verbs>regular500,verbs
v500-reg-010,abrir,open,verbs>regular500,verbs
v500-reg-011,aceptar,accept,verbs>regular500,verbs
v500-reg-012,defender,defend,verbs>regular500,verbs
v500-reg-013,acabar,finish,verbs>regular500,verbs
v500-reg-014,apoyar,support,verbs>regular500,verbs
v500-reg-015,bajar,lower,verbs>regular500,verbs
v500-reg-016,actuar,act,verbs>regular500,verbs
v500-reg-017,aumentar,increase,verbs>regular500,verbs
v500-reg-018,correr,run,verbs>regular500,verbs
v500-reg-019,controlar,control,verbs>regular500,verbs
v500-reg-020,desarrollar,develop,verbs>regular500,verbs
v500-reg-021,caminar,walk,verbs>regular500,verbs
v500-reg-022,demostrar,show,verbs>regular500,verbs
v500-reg-023,considerar,consider,verbs>regular500,verbs
v500-reg-024,acceder,agree,verbs>regular500,verbs
v500-reg-025,asegurar,ensure,verbs>regular500,verbs
v500-reg-026,descubrir,discover,verbs>regular500,verbs
v500-reg-027,celebrar,celebrate,verbs>regular500,verbs
v500-reg-028,decidir,decide,verbs>regular500,verbs
v500-reg-029,bailar,dance,verbs>regular500,verbs
v500-reg-030,cantar,sing,verbs>regular500,verbs
v500-reg-031,comprender,understand,verbs>regular500,verbs
v500-reg-032,abandonar,abandon,verbs>regular500,verbs
v500-reg-033,cubrir,cover,verbs>regular500,verbs
v500-reg-034,deber,owe,verbs>regular500,verbs
v500-reg-035,atacar,attack,verbs>regular500,verbs
v500-reg-036,cuidar,care,verbs>regular500,verbs
v500-reg-037,aparecer,appear,verbs>regular500,verbs
v500-reg-038,confiar,trust,verbs>regular500,verbs
v500-reg-039,cortar,cut,verbs>regular500,verbs
v500-reg-040,asumir,assume,verbs>regular500,verbs
v500-reg-041,arreglar,fix,verbs>regular500,verbs
v500-reg-042,atender,attend,verbs>regular500,verbs
v500-reg-043,aprovechar,capitalize on,verbs>regular500,verbs
v500-reg-044,combatir,combat,verbs>regular500,verbs
v500-reg-045,asistir,attend,verbs>regular500,verbs
v500-reg-046,beber,drink,verbs>regular500,verbs
v500-reg-047,desaparecer,disappear,verbs>regular500,verbs
v500-reg-048,convertir,convert,verbs>regular500,verbs
v500-reg-049,definir,define,verbs>regular500,verbs
v500-reg-050,contestar,answer,verbs>regular500,verbs
v500-reg-051,cruzar,get over,verbs>regular500,verbs
v500-reg-052,adquirir,take on,verbs>regular500,verbs
v500-reg-053,causar,cause,verbs>regular500,verbs
v500-reg-054,circular,circle,verbs>regular500,verbs
v500-reg-055,comprobar,control,verbs>regular500,verbs
v500-reg-056,admitir,admit,verbs>regular500,verbs
v500-reg-057,criticar,call down,verbs>regular500,verbs
v500-reg-058,declarar,say,verbs>regular500,verbs
v500-reg-059,cobrar,take home,verbs>regular500,verbs
v500-reg-060,competir,compete,verbs>regular500,verbs
v500-reg-061,completar,complete,verbs>regular500,verbs
v500-reg-062,contribuir,contribute,verbs>regular500,verbs
v500-reg-063,cocinar,ready,verbs>regular500,verbs
v500-reg-064,confirmar,confirm,verbs>regular500,verbs
v500-reg-065,descansar,rest on,verbs>regular500,verbs
v500-reg-066,descargar,go off,verbs>regular500,verbs
v500-reg-067,aclarar,light up,verbs>regular500,verbs
v500-reg-068,adoptar,take up,verbs>regular500,verbs
