id,front,back,tag,deck
vocab-a-comida-restaurantes-01,desayuno,breakfast,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-02,almuerzo,lunch,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-03,cena,dinner,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-04,el menú,the menu,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-05,la carta,menu,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-06,reserva,reservation,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-07,mesa,table,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-08,camarero / camarera,waiter / waitress,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-09,cliente,customer,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-10,plato principal,main course,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-11,entrada,starter / appetizer,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-12,guarnición,side dish,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-13,postre,dessert,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-14,bebida,drink,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-15,agua sin gas,still water,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-16,sin hielo,without ice,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-17,vegetariano / vegetariana,vegetarian,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-18,vegano / vegana,vegan,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-19,alergia,allergy,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-20,sin gluten,gluten-free,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-21,para llevar,to go / take away,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-22,pedir,to order,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-23,delicioso,delicious,vocab>a-comida-restaurantes,vocab
vocab-a-comida-restaurantes-24,propina,tip,vocab>a-comida-restaurantes,vocab
