id,front,back,tag,deck
vocab-a-compras-ropa-01,la tienda,the store,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-02,el mercado,the market,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-03,el centro comercial,the mall,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-04,el dependiente,sales clerk,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-05,el probador,fitting room,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-06,la talla,size,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-07,el número,shoe size,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-08,la etiqueta,price tag,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-09,la caja,checkout counter,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-10,el recibo,receipt,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-11,el descuento,discount,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-12,la oferta,sale,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-13,rebajado,discounted,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-14,caro,expensive,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-15,barato,cheap,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-16,pagar,to pay,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-17,el efectivo,cash,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-18,la tarjeta de crédito,credit card,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-19,la bolsa,shopping bag,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-20,la devolución,return,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-21,cambiar,to exchange,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-22,probarse,to try on,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-23,quedar,to fit,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-24,¿Cuánto vale?,How much is it?,vocab>a-compras-ropa,vocab
vocab-a-compras-ropa-25,¿Tiene otra talla?,Do you have another size?,vocab>a-compras-ropa,vocab
