id,front,back,tag,deck
vocab-a-educacion-escuela-01,la escuela,school,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-02,la clase,class,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-03,el aula,classroom,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-04,el profesor,teacher,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-05,el estudiante,student,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-06,el horario de clases,class schedule,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-07,la materia,subject,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-08,el cuaderno,notebook,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-09,el lápiz,pencil,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-10,el bolígrafo,pen,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-11,la tarea,homework,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-12,el examen,exam,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-13,estudiar,to study,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-14,aprobar,to pass,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-15,suspender,to fail,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-16,repasar,to review,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-17,el recreo,recess,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-18,el laboratorio,laboratory,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-19,la biblioteca,library,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-20,la nota,grade,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-21,la mochila,backpack,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-22,el aula virtual,virtual classroom,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-23,inscribirse,to enroll,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-24,el certificado,certificate,vocab>a-educacion-escuela,vocab
vocab-a-educacion-escuela-25,la graduación,graduation,vocab>a-educacion-escuela,vocab
