id,front,back,tag,deck
vocab-a-salud-emergencias-01,médico / médica,doctor / physician,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-02,cita médica,medical appointment,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-03,farmacia,pharmacy,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-04,receta,prescription,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-05,urgencias,emergency room,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-06,ambulancia,ambulance,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-07,seguro médico,health insurance,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-08,fiebre,fever,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-09,tos,cough,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-10,dolor,pain,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-11,mareo,dizziness,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-12,alergia,allergy,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-13,herida,wound,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-14,tirita,band-aid,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-15,calmante,painkiller,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-16,reposo,rest,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-17,seguimiento,follow-up,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-18,primeros auxilios,first aid,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-19,respiración,breathing,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-20,emergencia,emergency,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-21,llamar al 112,to call 112,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-22,botiquín,first-aid kit,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-23,antecedentes médicos,medical history,vocab>a-salud-emergencias,vocab
vocab-a-salud-emergencias-24,hidratación,hydration,vocab>a-salud-emergencias,vocab
