id,front,back,tag,deck
vocab-a-trabajo-oficina-01,el trabajo,job,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-02,el empleo,employment,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-03,el jefe,boss,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-04,el compañero de trabajo,coworker,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-05,la oficina,office,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-06,la reunión,meeting,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-07,la cita,appointment,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-08,el horario,schedule,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-09,el turno,shift,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-10,el salario,salary,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-11,la nómina,paycheck,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-12,la entrevista,interview,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-13,el currículum,résumé,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-14,contratar,to hire,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-15,despedir,to fire,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-16,ascender,to promote,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-17,el permiso,leave,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-18,el proyecto,project,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-19,la fecha límite,deadline,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-20,entregar,to submit,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-21,la videollamada,video call,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-22,el portátil,laptop,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-23,el correo electrónico,email,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-24,trabajar desde casa,to work from home,vocab>a-trabajo-oficina,vocab
vocab-a-trabajo-oficina-25,la hora extra,overtime,vocab>a-trabajo-oficina,vocab
