id,front,back,tag,deck
vocab-a-viajes-transporte-01,billete,ticket,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-02,pasaporte,passport,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-03,documento de identidad,ID card,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-04,equipaje,luggage,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-05,maleta de mano,carry-on suitcase,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-06,facturación,check-in,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-07,tarjeta de embarque,boarding pass,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-08,puerta de embarque,boarding gate,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-09,retraso,delay,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-10,cancelado,cancelled,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-11,horario,timetable,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-12,andén,platform,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-13,transbordo,transfer,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-14,asiento,seat,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-15,ventanilla,window seat,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-16,pasillo,aisle,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-17,metro,subway / metro,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-18,parada,stop,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-19,mapa,map,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-20,itinerario,itinerary,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-21,seguro de viaje,travel insurance,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-22,consigna,left luggage,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-23,alquiler de coches,car rental,vocab>a-viajes-transporte,vocab
vocab-a-viajes-transporte-24,confirmación,confirmation,vocab>a-viajes-transporte,vocab
