id,front,back,tag,deck
vocab-c-ciberseguridad-digital-01,infraestructura crítica,critical infrastructure,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-02,cortafuegos,firewall,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-03,autenticación multifactor,multi-factor authentication,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-04,cifrado de extremo a extremo,end-to-end encryption,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-05,vector de ataque,attack vector,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-06,gestión de identidades,identity management,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-07,cumplimiento normativo,regulatory compliance,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-08,auditoría forense,forensic audit,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-09,vulnerabilidad de día cero,zero-day vulnerability,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-10,parche de seguridad,security patch,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-11,superficie de exposición,attack surface,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-12,fuga de datos,data breach,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-13,privacidad diferencial,differential privacy,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-14,aprendizaje automático,machine learning,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-15,algoritmo de recomendación,recommendation algorithm,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-16,nube híbrida,hybrid cloud,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-17,orquestación de contenedores,container orchestration,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-18,arquitectura sin servidor,serverless architecture,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-19,escalabilidad elástica,elastic scalability,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-20,continuidad de negocio,business continuity,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-21,plan de recuperación,recovery plan,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-22,análisis de amenazas,threat analysis,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-23,simulacro de phishing,phishing drill,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-24,formación de concienciación,awareness training,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-25,registro de auditoría,audit log,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-26,respuesta a incidentes,incident response,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-27,acuerdo de nivel de servicio,service-level agreement,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-28,automatización robótica de procesos,robotic process automation,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-29,hoja de ruta digital,digital roadmap,vocab>ciberseguridad-digital,vocab
vocab-c-ciberseguridad-digital-30,gobernanza de datos,data governance,vocab>ciberseguridad-digital,vocab
